,city,lat,lng,country,capital,population
353,Accra,5.55,-0.2,Ghana,primary,2388000.0
354,Bekasi,-6.2349,106.9923,Indonesia,,2381053.0
355,Ghāziābād,28.67,77.42,India,,2375820.0
356,Yuxi,24.3495,102.5432,China,minor,2386000.0
357,Luoyang,34.6587,112.4245,China,,2372571.0
358,Brisbane,-27.4678,153.0281,Australia,admin,2360241.0
359,Anshun,26.2456,105.934,China,,2353100.0
360,Depok,-6.394,106.8225,Indonesia,,2330333.0
361,Shangzhou,33.868,109.9244,China,,2341742.0
362,Huainan,32.4831,117.0164,China,,2333896.0
363,Colombo,6.9344,79.8428,Sri Lanka,primary,2323826.0
364,Kuaidamao,41.7302,125.9471,China,minor,2324439.0
365,Baku,40.3667,49.8352,Azerbaijan,primary,2300500.0
366,Fukuoka,33.5833,130.4,Japan,admin,2286000.0
367,Yan’an,36.5952,109.4863,China,,2282581.0
368,Jincheng,35.4906,112.8483,China,minor,2279146.0
369,Vancouver,49.25,-123.1,Canada,,2264823.0
370,Nantong,31.9829,120.8873,China,minor,2261382.0
371,Tangerang,-6.1783,106.6319,Indonesia,,2237006.0
372,Caracas,10.4806,-66.9036,Venezuela,primary,2245744.0
373,Sanmenxia,34.7736,111.195,China,,2234018.0
374,Laibin,23.7333,109.2333,China,minor,2233900.0
375,Konya,37.8667,32.4833,Turkey,admin,2232374.0
376,Manaus,-3.1,-60.0167,Brazil,admin,2219580.0
377,Eşfahān,32.6447,51.6675,Iran,admin,2219343.0
378,Qinbaling,35.7278,107.64,China,,2211191.0
379,Baltimore,39.3051,-76.6144,United States,,2205092.0
380,Ma’anshan,31.6858,118.5101,China,minor,2202899.0
381,Shengli,37.45,118.4667,China,minor,2193518.0
382,Gaoping,30.7824,106.1281,China,minor,2174000.0
383,Taizhou,28.6583,121.4221,China,minor,2162461.0
384,Harare,-17.8292,31.0522,Zimbabwe,primary,2150000.0
385,Kowloon,22.3167,114.1833,Hong Kong,,2108419.0
386,Las Vegas,36.2333,-115.2654,United States,,2150373.0
387,Havana,23.1367,-82.3589,Cuba,primary,2141652.0
388,Perth,-31.9559,115.8606,Australia,admin,2141834.0
389,Phnom Penh,11.5694,104.9211,Cambodia,primary,2129371.0
390,Puning,23.2993,116.1586,China,,2118200.0
391,Huaibei,33.9562,116.789,China,,2114276.0
392,Qingyang,24.8141,118.5792,China,minor,2111000.0
393,Haiphong,20.8651,106.6838,Vietnam,admin,2103500.0
394,Chongzuo,22.4167,107.3667,China,minor,2099400.0
395,Rawalpindi,33.6,73.0333,Pakistan,minor,2098231.0
396,Yushan,31.3867,120.9766,China,minor,2092496.0
397,St. Louis,38.6359,-90.2451,United States,,2092481.0
398,Kumasi,6.6667,-1.6167,Ghana,admin,2069350.0
399,Vadodara,22.3,73.2,India,,2065771.0
400,Hezhou,24.4164,111.5478,China,minor,2072600.0
401,Pingliang,35.5412,106.6819,China,minor,2068033.0
402,Portland,45.5371,-122.65,United States,,2036875.0
403,Vishākhapatnam,17.7042,83.2978,India,,2035922.0
404,Gujranwala,32.1567,74.19,Pakistan,minor,2027001.0
405,Baicheng,45.6148,122.832,China,minor,2032356.0
406,Gaziantep,37.0628,37.3792,Turkey,admin,2028563.0
407,Fushun,41.8708,123.8917,China,,2024000.0
408,Riverside,33.9381,-117.3949,United States,,2022285.0
409,Bamako,12.6458,-7.9922,Mali,primary,2009109.0
410,Quito,-0.22,-78.5125,Ecuador,primary,2011388.0
411,Minsk,53.9,27.5667,Belarus,primary,2009786.0
412,Tijuana,32.525,-117.0333,Mexico,minor,2002000.0
413,Bamenda,5.9614,10.1517,Cameroon,admin,2000000.0
414,Boosaaso,11.2886,49.1819,Somalia,admin,2000000.0
415,Indore,22.7167,75.8472,India,,1994397.0
416,Şanlıurfa,37.1583,38.7917,Turkey,admin,1985753.0
417,Vienna,48.2083,16.3725,Austria,primary,1973403.0
418,Karaj,35.8272,50.9489,Iran,admin,1973470.0
419,Kananga,-5.897,22.4488,Congo (Kinshasa),admin,1971704.0
420,Peshawar,34.0144,71.5675,Pakistan,admin,1970042.0
421,Sapporo,43.0667,141.35,Japan,admin,1961690.0
422,Ecatepec,19.6097,-99.06,Mexico,minor,1929926.0
423,Pingxiang,27.6333,113.85,China,minor,1933200.0
424,Orlando,28.4773,-81.337,United States,,1927699.0
425,Aleppo,36.2,37.16,Syria,admin,1916781.0
426,Sacramento,38.5677,-121.4685,United States,admin,1924167.0
427,Almaty,43.2775,76.8958,Kazakhstan,admin,1916822.0
428,San Juan,18.3985,-66.061,Puerto Rico,primary,1915105.0
429,San Antonio,29.4632,-98.5238,United States,,1910785.0
430,Yinchuan,38.4795,106.2254,China,admin,1901793.0
431,Thāne,19.1972,72.9722,India,,1886941.0
432,Santos,-23.9369,-46.325,Brazil,,1897551.0
433,Blantyre,-15.7861,35.0058,Malawi,admin,1895973.0
434,Bucharest,44.4325,26.1039,Romania,primary,1883425.0
435,Curitiba,-25.4297,-49.2711,Brazil,admin,1879355.0
436,Multan,30.1978,71.4697,Pakistan,minor,1871843.0
437,Tainan,22.9833,120.1833,Taiwan,admin,1874686.0
438,Xiping,40.082,113.2981,China,minor,1873000.0
439,Port Harcourt,4.8242,7.0336,Nigeria,admin,1865000.0
440,Warsaw,52.23,21.0111,Poland,primary,1860281.0
441,Jixi,45.2937,130.965,China,minor,1862165.0
442,Saidu Sharif,34.75,72.3572,Pakistan,minor,1860310.0
443,Liaoyang,41.2643,123.1772,China,,1858768.0
444,Beihai,21.4667,109.1,China,minor,1853227.0
445,Meru,0.05,37.65,Kenya,admin,1833000.0
446,Brazzaville,-4.2694,15.2714,Congo (Brazzaville),primary,1827000.0
447,Fuxin,42.0127,121.6486,China,,1819339.0
448,Wuwei,37.9278,102.6329,China,minor,1815059.0
449,Mersin,36.8,34.6333,Turkey,admin,1814468.0
450,Bhopāl,23.25,77.4167,India,admin,1798218.0
451,Lubumbashi,-11.6647,27.4794,Congo (Kinshasa),admin,1786397.0
452,Denpasar,-8.65,115.2167,Indonesia,admin,1779122.0
453,Davao,7.0667,125.6,Philippines,admin,1776949.0
454,Shuyangzha,34.1299,118.7734,China,,1770000.0
455,Adana,37.0,35.3213,Turkey,admin,1765981.0
456,Damascus,33.5131,36.2919,Syria,primary,1754000.0
457,Brussels,50.8467,4.3525,Belgium,primary,1743000.0
458,Hyderabad City,25.3792,68.3683,Pakistan,minor,1732693.0
459,Diyarbakır,37.91,40.24,Turkey,admin,1732396.0
460,San Jose,37.3012,-121.848,United States,,1729879.0
461,Chinchvad,18.6186,73.8037,India,,1729320.0
462,Montevideo,-34.8836,-56.1819,Uruguay,primary,1719453.0
